frame,face_id,x1,y1,x2,y2
263,2,554,243,598,299
264,0,314,175,373,247
264,1,169,179,237,253
264,2,558,243,603,300
265,0,319,178,378,250
265,1,175,178,242,253
265,2,565,244,609,302
266,0,328,181,387,251
266,1,184,174,248,249
266,2,567,243,614,303
267,0,336,182,394,252
267,1,188,172,253,250
267,2,570,244,620,305
268,0,346,185,401,252
268,1,190,168,256,248
268,2,577,245,624,306
269,0,353,189,409,254
269,1,196,164,260,243
269,2,582,247,626,309
270,0,361,188,415,255
270,1,200,162,265,240
270,2,583,250,628,307
271,0,368,193,422,258
271,1,202,161,270,240
272,0,377,191,430,259
272,1,203,155,273,240
272,2,591,254,638,318
273,0,382,195,437,263
273,1,207,154,275,234
273,2,598,255,643,318
274,0,211,151,276,230
274,1,389,197,444,268
274,2,599,259,647,319
275,0,395,200,451,271
275,1,212,147,279,227
275,2,603,258,653,319
276,0,402,206,456,272
276,1,215,147,279,226
276,2,607,258,659,322
277,0,409,209,461,275
277,1,215,147,281,225
277,2,610,261,662,322
278,0,414,211,467,277
278,1,219,145,283,223
278,2,613,261,663,321
279,0,418,212,471,277
279,1,222,146,284,222
279,2,617,259,668,320
280,0,423,213,475,278
280,1,225,145,284,216
280,2,620,256,672,319
281,0,427,212,480,278
281,1,226,144,286,216
281,2,627,256,673,315
282,0,431,211,483,274
282,1,627,253,676,313
282,2,225,147,284,219
283,0,434,211,487,275
283,1,633,252,682,312
283,2,225,146,285,218
284,0,439,211,492,276
284,1,636,253,685,312
284,2,226,148,283,218
285,0,442,213,494,277
285,1,641,248,689,311
285,2,227,149,284,218
286,0,446,212,500,277
286,1,644,248,694,310
286,2,229,150,284,217
287,0,449,214,502,278
287,1,648,248,695,309
287,2,230,152,285,219
288,0,452,215,506,278
288,1,651,249,699,308
288,2,232,154,285,220
289,0,457,215,510,279
289,1,655,248,704,310
290,0,460,214,514,278
290,1,659,247,708,311
290,2,236,155,291,222
291,0,464,212,517,278
291,1,661,247,711,311
292,0,467,211,520,276
292,1,665,250,713,312
292,2,243,157,303,225
293,0,471,208,523,275
293,1,668,248,717,315
293,2,246,156,307,229
294,0,473,207,527,275
294,1,253,157,310,230
294,2,670,251,721,316
295,0,476,204,531,274
295,1,257,163,311,232
295,2,675,251,726,319
296,0,477,204,534,271
296,1,678,254,729,318
296,2,262,164,313,236
297,0,681,257,730,321
297,1,480,201,536,268
297,2,263,166,314,244
297,3,789,160,849,245
298,0,683,260,733,322
298,1,265,168,316,244
298,2,483,198,537,263
298,3,791,159,855,251
299,0,685,260,735,324
299,1,263,168,315,247
299,2,485,192,538,258
299,3,795,163,858,248
300,0,263,169,314,246
300,1,689,261,740,326
300,2,489,190,540,252
